Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
p3_a5_45d451e1		Ellos poco se hablaban, se tenían recelo, o mejor dicho, para decirlo más claro, celos.	game/p3_a5.rpy	33	"[what]"
p3_a5_4813c749		Mi papá se mantenía en la finca, Álvaro y yo vivíamos en Chaparral y poco nos visitábamos. 	game/p3_a5.rpy	34	"[what]"
p3_a5_1c952973		Queríamos evitar ese no tener nada qué hablar hablando pendejadas.	game/p3_a5.rpy	36	"[what]"
p3_a5_82f21e33		Lo mataron para un Corpus Christi.	game/p3_a5.rpy	37	"[what]"
p3_a5_c1d565a8		Yo había quedado de subir a la finca a visitarlo, porque quería llevarle unas libras de maní, que le gustaba mucho, así ya no tuviera dientes.	game/p3_a5.rpy	38	"[what]"
p3_a6_ec5908e4	alvaro	Yo la iba subir alla, pero el Guaz se me dañó, mejor vaya por el escalera de las diez.	game/p3_a6.rpy	8	alvaro "[what]"
p3_a6_bad8f2e3		Ya andando me entró un dolor de estómago que no podía con él y sentí que no llegaba.	game/p3_a6.rpy	15	"[what]"
p3_a6_7030b54b		Sin embargo, pensando en el viejo, puse el dolor en el puesto de al lado y eché para arriba.	game/p3_a6.rpy	17	"[what]"
p3_a6_42b5b717		A mitad del camino bajaba el bus que había subido a las seis de la mañana,	game/p3_a6.rpy	19	"[what]"
p3_a6_670490ac		un mixto que transportaba leche y pasajeros, y cuando nos cruzamos	game/p3_a6.rpy	21	"[what]"
p3_a6_b79cf8f5	chofer	Como que mataron por allá a don Esteban.	game/p3_a6.rpy	23	chofer "[what]"
p3_a6_2a3617e2		No entendí bien, pero cuando todos los pasajeros se voltearon a mirarme, comprendí que el muerto era mi papá.	game/p3_a6.rpy	32	"[what]"
p3_a6_464b35ad		Me dio un dolor en el pecho y un frío en el cuerpo que me pusieron a temblar como atembada.	game/p3_a6.rpy	34	"[what]"
p3_a6_7cea6fd0		La gente que me conocía dio en consolarme y así más ganas de llorar me dieron.	game/p3_a6.rpy	35	"[what]"
p3_a6_99dcab60		Echamos para arriba a ver qué había pasado. Tenía la esperanza de que no fuera cierto, pero la seguridad de que era verdad. 	game/p3_a6.rpy	37	"[what]"
p3_a7_3cd5e532		Cuando llegamos a la finca ya estaba entre el cajón, porque lo habían matado a la madrugada.	game/p3_a7.rpy	9	"[what]"
p3_a7_f32adf79	mama	Antes de apagar la luz llegó Luisito, un amigo de él	game/p3_a7.rpy	14	mama "[what]"
p3_a7_eca88cc2	mama	y lo sacó para afuera de la casa como a conversarle algo que no quería que mi mamá supiera.	game/p3_a7.rpy	15	mama "[what]"
p3_a7_b69577d7		Ella no desconfió porque Luis se la pasaba todo el tiempo en la casa	game/p3_a7.rpy	17	"[what]"
p3_a7_110be788		Ese señor siempre era «<mire, don Esteban, que no tengo plata>>	game/p3_a7.rpy	18	"[what]"
p3_a7_41a19623		<<mire, don Esteban, que necesito para la droga de una de las chinas>>	game/p3_a7.rpy	19	"[what]"
p3_a7_7a238ff2		<«<don Esteban, ¿será que usted me regala para una panelita?>>	game/p3_a7.rpy	20	"[what]"
p3_a7_749aec81		Y mi papá siempre le colaboraba en lo que podía y le decía: <<tenga, amigo, esté tranquilo».	game/p3_a7.rpy	21	"[what]"
p3_a7_1d6ef26b		Esas son las espinas que se le enconan a uno: a quien mi papá más ayudó fue quien lo mató.	game/p3_a7.rpy	23	"[what]"
p3_a7_967fdcd5		A quien mi papá le quitó las hambres, al que le dio para la matrícula de las hijas, fue el mismo que lo sacó de la casa.	game/p3_a7.rpy	25	"[what]"
p3_a7_c090e457		De seguro lo enredó con que no tenía la plata para comprar un toro que quería	game/p3_a7.rpy	26	"[what]"
p3_a7_d15f30f5		y mi papá, confiado, debió decirle: -Yo se la presto.	game/p3_a7.rpy	27	"[what]"
p3_a7_7871cd3e		El Luis ese llegó de madrugada a la finca.	game/p3_a7.rpy	30	"[what]"
p3_a7_47a7016d		Lo traicionó y más encima de eso volvió a la casa llevándole el sombrero y la peinilla a mi mamá.	game/p3_a7.rpy	31	"[what]"
p3_a7_e6082c88		 Y soltó la noticia, así, sin nada de vergüenza: -A su papá lo mataron-dijo el desgraciado	game/p3_a7.rpy	32	"[what]"
p3_a7_d4f9ad47		y ya se iba a ir cuando fue arrimando mi hermano, que los había acompañado de lejos sin que Luis se diera cuenta. 	game/p3_a7.rpy	34	"[what]"
p3_a7_8579cfac		El hombre quedó mudo, parado en seco, y se puso más cadáver que mi papá.	game/p3_a7.rpy	35	"[what]"
p3_a7_4e26095b		Echó a correr antes de que mi hermano hablara. 	game/p3_a7.rpy	36	"[what]"
p3_a7_ea359c79	mama	Luis fue el asesino.	game/p3_a7.rpy	38	mama "[what]"
p3_a8_e3721dca		¿Por qué razón mataron a mi papá?	game/p3_a8.rpy	4	"[what]"
p3_a8_de1a7668		Duramos en dar con el chiste, pero lo acertamos	game/p3_a8.rpy	5	"[what]"
p3_a8_1d2ce952		Luis malinformó a la guerrilla sobre mi papá, le dijo al comandante del frente que el viejo había sido guerrillero	game/p3_a8.rpy	6	"[what]"
p3_a8_f5d6938a		 y había andado con Mariachi, el que mató a Charro Negro, que fue en vida jefe de Tirofijo	game/p3_a8.rpy	7	"[what]"
p3_a8_ed23b37d		que mi papá se había vuelto rico jodiendo a los más pobres y que lo que tenía lo había hecho a costa de la usura.	game/p3_a8.rpy	8	"[what]"
p3_a8_1d9e6275		La muerte de mi papá fue por envidia, porque él fue siempre un hombre de buenos principios, útil a la comunidad.	game/p3_a8.rpy	9	"[what]"
p3_a8_c8a9e679		Mi pariente Escolástico Ducuara, presidente todavía del cabildo del Yarí, lo sabe muy bien.	game/p3_a8.rpy	10	"[what]"
p3_a9_8dbeab2e	mama	Aunque me cueste todos mis esfuerzo, voy a seguir luchando con lo que ha quedado en la finca	game/p3_a9.rpy	8	mama "[what]"
p3_a9_a96f4290		y nosotros en Chaparral tuvimos que entregarle a mi hermano el carro de mi papá.	game/p3_a9.rpy	9	"[what]"
p3_a9_3c287242		Mis hermanos se volvieron hombres agrios y empezaron a mandar como si todo lo que el viejo dejó fuera de ellos.	game/p3_a9.rpy	13	"[what]"
p3_a9_3d0e6d3a		Para evitar enfrentamientos con la familia, llego un señor al que llamaban El Burro	game/p3_a9.rpy	14	"[what]"
p3_a9_31ec5363	burro	Venga Alvaro, coga el Nissan y haga una línea entre La Marina y Río Blanco	game/p3_a9.rpy	19	burro "[what]"
p3_a9_92fe3492		pero un día tuvo un accidente y se salió de la carretera.	game/p3_a9.rpy	25	"[what]"
p3_a9_4b5f693f		*sonido de accidente automovilistico*	game/p3_a9.rpy	27	"[what]"
p3_a9_26a17954		No fue muy grave, aunque tocó pagar todo y nosotros empeñar lo que teníamos.	game/p3_a9.rpy	29	"[what]"
p3_a9_431deb52		Quedamos amarrados de pies y manos con quien nos prestó para tapar la deuda que nos dejó el accidente.	game/p3_a9.rpy	30	"[what]"
p3_a9_b25a0917		¡Tocó! ¿Qué podíamos hacer?	game/p3_a9.rpy	31	"[what]"
p3_a9_27b854af		Teníamos que pagar las raspaduras de los pasajeros y la mercancía que se dañó	game/p3_a9.rpy	32	"[what]"
p3_a9_a40eea81		y como le quitaron el derecho a ganarse la vida, ya que no podía volver a manejar ni zorra	game/p3_a9.rpy	33	"[what]"
fin_a20cefa7		...	game/script.rpy	91	"[what]"
